Merge: 	10	50083
Quick Sort: 	10	19500
Merge: 	100	136959
Quick Sort: 	100	183542
Merge: 	500	3953250
Quick Sort: 	500	583000
Merge: 	1000	976458
Quick Sort: 	1000	199959
Merge: 	5000	1608125
Quick Sort: 	5000	711459
Merge: 	7000	1159834
Quick Sort: 	7000	934916
Merge: 	10000	2494625
Quick Sort: 	10000	1077958
