Merge: 	100	377750
Quick Sort: 	100	287666
Merge: 	500	506292
Quick Sort: 	500	711375
Merge: 	1000	1346834
Quick Sort: 	1000	177959
Merge: 	5000	1202417
Quick Sort: 	5000	525834
