1	153.66
2	212.84
4	133.36
8	164.56
16	92.24
32	167.83
64	110.01
128	317.95
256	242.08
512	84.59
1024	83.8
2048	44.17
4096	44.56
8192	42.16
16384	41.73
32768	212.08
65536	21.68
131072	13.74
262144	15.02
524288	15.44
1048576	13.75
